"","location_key","date","place_id","wikidata_id","country_code","country_name","subregion1_code","subregion1_name","iso_3166_1_alpha_2","iso_3166_1_alpha_3","aggregation_level","new_confirmed","new_deceased","cumulative_confirmed","cumulative_deceased","population","population_male","population_female","population_age_00_09","population_age_10_19","population_age_20_29","population_age_30_39","population_age_40_49","population_age_50_59","population_age_60_69","population_age_70_79","population_age_80_and_older","openstreetmap_id","latitude","longitude","elevation_m","area_sq_km","mobility_retail_and_recreation","mobility_grocery_and_pharmacy","mobility_parks","mobility_transit_stations","mobility_workplaces","mobility_residential","average_temperature_celsius","minimum_temperature_celsius","maximum_temperature_celsius","rainfall_mm","dew_point","relative_humidity","new_tested","cumulative_tested"
"37","ZA_EC",2020-02-06,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,18.061111,15.222222,25.577778,4.7498,15.361111,84.785683,NA,NA
"38","ZA_EC",2020-02-07,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,17.127778,13.85,22.888889,8.3566,14.477778,84.739977,NA,NA
"39","ZA_EC",2020-02-08,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,18.416667,15.261111,24.072222,19.4564,15.088889,81.205757,NA,NA
"40","ZA_EC",2020-02-09,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,19.066667,13.727778,25.561111,0.7874,15.177778,78.378263,NA,NA
"41","ZA_EC",2020-02-10,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,18.011111,14.55,25.411111,1.7526,14.022222,78.095464,NA,NA
"42","ZA_EC",2020-02-11,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,18.333333,12.988889,25.083333,0.8382,13.172222,72.503942,NA,NA
"43","ZA_EC",2020-02-12,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,20.25,13.872222,28.3,0.0762,13.711111,66.512983,NA,NA
"44","ZA_EC",2020-02-13,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,22.261111,15.005556,30.766667,0.7112,13.061111,56.73591,NA,NA
"45","ZA_EC",2020-02-14,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,22.238889,14.994444,31.55,0.3302,14.183333,61.609605,NA,NA
"46","ZA_EC",2020-02-15,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,-8,-5,-10,-10,-1,-3,22.211111,16.122222,31.05,0.0254,15.427778,66.141224,NA,NA
"47","ZA_EC",2020-02-16,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,-6,-3,-2,-8,-1,-3,25.133333,18.611111,32.566667,0.0254,14.233333,51.221651,NA,NA
"48","ZA_EC",2020-02-17,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,-15,-10,-12,-5,1,2,20.161111,16.466667,29.705556,2.370667,15.561111,75.00758,NA,NA
"49","ZA_EC",2020-02-18,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,-19,-14,-20,-7,2,3,16.655556,15.027778,24.505556,7.3914,14.9,89.595218,NA,NA
"50","ZA_EC",2020-02-19,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,-12,-12,-9,-8,4,1,21.45,14.133333,27.683333,4.5974,15.622222,69.991094,NA,NA
"51","ZA_EC",2020-02-20,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,-2,-2,-11,0,3,0,21.933333,17.644444,29.977778,11.6586,16.55,71.893791,NA,NA
"52","ZA_EC",2020-02-21,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,-8,-6,-5,2,3,-3,22.177778,16.088889,30.366667,1.4986,16.483333,70.602659,NA,NA
"53","ZA_EC",2020-02-22,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,-13,-10,-21,-12,2,-1,20.266667,15.161111,30.016667,2.3368,15.55,74.659439,NA,NA
"54","ZA_EC",2020-02-23,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,-13,-11,-16,-10,-1,1,14.432099,10.87037,25.388889,3.527778,9.425926,72.290973,NA,NA
"55","ZA_EC",2020-02-24,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,-13,-11,-13,-9,5,1,16.788889,8.272222,24.977778,0.127,9.005556,60.901989,NA,NA
